"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoW]"   ,    "rms[RhoE]"   ,     "rms[nu]"    
          0,           0,         195,      -6.434177729,      -6.347175476,      -6.585850478,      -6.274230161,      -5.831928353,       -7.98192688
          0,           0,         196,      -6.451965541,      -6.355523149,      -6.589613047,      -6.279390922,       -5.84999403,      -7.980298285
          0,           0,         197,      -6.448400388,      -6.357946078,      -6.591348312,      -6.273117409,      -5.844962906,      -7.978706469
          0,           0,         198,      -6.447864996,      -6.364242906,      -6.586655081,      -6.260665827,      -5.842415175,      -7.977137628
          0,           0,         199,      -6.415051265,      -6.348797794,      -6.581592594,      -6.239553013,      -5.809043563,      -7.975596508
          0,           0,         200,      -6.429813525,      -6.365747913,      -6.596387278,      -6.265514063,       -5.82514949,      -7.974115191
          0,           0,         201,      -6.445714666,      -6.378920392,       -6.60532822,       -6.25408464,      -5.841945876,      -7.972717635
          0,           0,         202,      -6.432978202,      -6.367825638,      -6.590653097,      -6.254859008,      -5.829534043,       -7.97143982
          0,           0,         203,      -6.423037288,      -6.363232207,      -6.580816184,      -6.247602975,      -5.819011107,      -7.970303454
          0,           0,         204,      -6.413946934,       -6.35458802,      -6.586977149,      -6.259876959,      -5.809303271,      -7.969292198
          0,           0,         205,      -6.446627771,      -6.376645724,      -6.615327395,      -6.276997934,      -5.842318356,      -7.968406492
          0,           0,         206,       -6.44566226,      -6.371402352,      -6.618273458,      -6.258139239,      -5.841415112,       -7.96764042
          0,           0,         207,      -6.431459253,      -6.364085811,      -6.600864177,      -6.269328128,      -5.828664497,      -7.966982698
          0,           0,         208,      -6.452603829,      -6.382999497,      -6.604618164,      -6.278941754,      -5.849894788,      -7.966407248
          0,           0,         209,        -6.4665595,      -6.388698989,      -6.618375993,      -6.298243583,        -5.8633209,      -7.965882438
          0,           0,         210,      -6.476184439,      -6.394523579,       -6.62247322,      -6.277125366,      -5.871394549,      -7.965393968
          0,           0,         211,      -6.435817847,        -6.3648769,      -6.609874521,      -6.268929498,      -5.829925378,       -7.96494674
          0,           0,         212,       -6.45393835,      -6.375995864,      -6.620287849,      -6.279766426,      -5.848946226,      -7.964552074
          0,           0,         213,      -6.462639216,      -6.381930654,      -6.629187642,      -6.278405075,      -5.858458959,       -7.96421569
          0,           0,         214,      -6.462125903,      -6.378751714,      -6.612188377,      -6.270100433,      -5.858318034,      -7.963934197
          0,           0,         215,       -6.43165884,      -6.362628291,      -6.597230011,      -6.257845173,      -5.826600494,      -7.963692269
          0,           0,         216,      -6.440820978,      -6.361198874,      -6.607218555,      -6.280588652,      -5.834983132,      -7.963474542
          0,           0,         217,      -6.459171076,      -6.371911688,       -6.63055314,      -6.266936992,       -5.85240186,       -7.96327441
          0,           0,         218,       -6.44463187,      -6.370242861,      -6.623261829,      -6.252946259,      -5.837170355,      -7.963093766
          0,           0,         219,      -6.433889228,      -6.364498787,      -6.607943114,      -6.251566671,      -5.827741611,      -7.962928084
          0,           0,         220,      -6.448604933,      -6.381240499,      -6.620769302,       -6.27584441,      -5.842768639,      -7.962766528
          0,           0,         221,      -6.493564899,       -6.41539778,      -6.646132669,      -6.284005401,      -5.886338941,      -7.962597314
          0,           0,         222,      -6.463123668,      -6.398544738,      -6.632184721,      -6.253149103,      -5.854313413,      -7.962424187
          0,           0,         223,      -6.461869502,      -6.396933384,      -6.630705985,       -6.27594028,      -5.852548563,      -7.962248861
          0,           0,         224,      -6.478656279,      -6.412978567,      -6.649431438,      -6.289896356,      -5.870746109,      -7.962069879
          0,           0,         225,      -6.506218341,      -6.428811323,      -6.654784143,       -6.29270668,      -5.899641733,      -7.961877929
          0,           0,         226,      -6.467812023,      -6.398810184,      -6.630415689,      -6.268128142,      -5.860926996,      -7.961677243
          0,           0,         227,      -6.470636996,      -6.410049878,      -6.628770466,      -6.285679722,       -5.86345374,      -7.961487785
          0,           0,         228,      -6.499820038,      -6.444422741,      -6.651030971,      -6.288770173,      -5.891368645,       -7.96131529
          0,           0,         229,      -6.480342371,      -6.431177522,      -6.649695179,      -6.261578087,      -5.871010733,      -7.961153303
          0,           0,         230,      -6.471578246,      -6.423616446,      -6.647172497,      -6.267823341,       -5.86296914,      -7.961003663
          0,           0,         231,      -6.476314164,      -6.425825612,      -6.653910756,      -6.289515947,      -5.868226562,      -7.960873984
          0,           0,         232,      -6.518592113,       -6.46414437,      -6.664637268,      -6.294275801,      -5.909153762,      -7.960761203
          0,           0,         233,      -6.482954096,      -6.437726058,      -6.647357957,      -6.271616561,      -5.872908399,      -7.960654426
