"Time_Iter","Outer_Iter","Inner_Iter",   "rms[A_Rho]"   ,   "rms[A_RhoU]"  ,   "rms[A_RhoV]"  ,    "rms[A_E]"    
          0,           0,         240,      -10.60351733,      -10.33789993,      -10.80472125,       -11.0816669
          0,           0,         241,       -10.6188271,      -10.35159571,      -10.82300978,      -11.09738627
          0,           0,         242,      -10.63354242,      -10.36456125,       -10.8409038,      -11.11252454
          0,           0,         243,      -10.64773271,      -10.37688664,        -10.858427,      -11.12713443
          0,           0,         244,      -10.66147372,      -10.38867337,      -10.87560935,      -11.14128117
          0,           0,         245,       -10.6748448,      -10.40003025,       -10.8924863,      -11.15504016
          0,           0,         246,      -10.68792637,      -10.41106914,       -10.9090978,      -11.16849403
          0,           0,         247,      -10.70079775,      -10.42190111,      -10.92548717,      -11.18172957
          0,           0,         248,      -10.71353528,      -10.43263308,      -10.94169992,      -11.19483456
          0,           0,         249,      -10.72621101,      -10.44336522,      -10.95778243,      -11.20789496
          0,           0,         250,      -10.73889181,      -10.45418913,      -10.97378081,       -11.2209924
          0,           0,         251,       -10.7516389,      -10.46518676,      -10.98973962,      -11.23420228
          0,           0,         252,      -10.76450769,      -10.47643004,      -11.00570085,      -11.24759229
          0,           0,         253,      -10.77754796,      -10.48798103,      -11.02170294,      -11.26122165
          0,           0,         254,       -10.7908042,      -10.49989245,      -11.03777999,      -11.27514066
          0,           0,         255,       -10.8043161,      -10.51220862,      -11.05396128,      -11.28939087
          0,           0,         256,      -10.81811921,      -10.52496645,      -11.07027105,      -11.30400554
          0,           0,         257,      -10.83224559,      -10.53819666,      -11.08672853,      -11.31901055
          0,           0,         258,      -10.84672456,      -10.55192486,       -11.1033484,      -11.33442529
          0,           0,         259,      -10.86158332,      -10.56617273,      -11.12014149,      -11.35026394
          0,           0,         260,      -10.87684759,      -10.58095894,      -11.13711568,      -11.36653657
          0,           0,         261,      -10.89254192,      -10.59629995,      -11.15427695,       -11.3832502
          0,           0,         262,      -10.90868992,      -10.61221055,      -11.17163031,      -11.40040965
          0,           0,         263,       -10.9253142,      -10.62870422,      -11.18918074,      -11.41801833
          0,           0,         264,       -10.9424361,       -10.6457933,       -11.2069337,      -11.43607863
          0,           0,         265,      -10.96007515,      -10.66348882,      -11.22489564,      -11.45459217
          0,           0,         266,      -10.97824853,      -10.68180037,      -11.24307401,      -11.47355979
          0,           0,         267,      -10.99697047,      -10.70073572,      -11.26147718,      -11.49298175
          0,           0,         268,       -11.0162515,      -10.72030044,      -11.28011421,      -11.51285712
          0,           0,         269,      -11.03609794,      -10.74049742,      -11.29899435,      -11.53318378
          0,           0,         270,       -11.0565116,      -10.76132658,      -11.31812676,      -11.55395819
          0,           0,         271,      -11.07748936,      -10.78278438,      -11.33751996,      -11.57517489
          0,           0,         272,      -11.09902318,      -10.80486357,      -11.35718148,      -11.59682629
          0,           0,         273,      -11.12110013,      -10.82755291,      -11.37711751,      -11.61890244
          0,           0,         274,      -11.14370246,      -10.85083697,      -11.39733251,      -11.64139066
          0,           0,         275,       -11.1668079,      -10.87469596,      -11.41782903,      -11.66427534
          0,           0,         276,      -11.19038992,      -10.89910563,      -11.43860748,      -11.68753785
          0,           0,         277,        -11.214418,      -10.92403724,      -11.45966588,       -11.7111563
          0,           0,         278,        -11.238858,      -10.94945751,      -11.48099987,      -11.73510555
          0,           0,         279,      -11.26367237,      -10.97532869,      -11.50260256,      -11.75935718
          0,           0,         280,      -11.28882061,      -11.00160865,      -11.52446452,      -11.78387977
          0,           0,         281,      -11.31425934,      -11.02825092,      -11.54657387,      -11.80863877
          0,           0,         282,       -11.3399429,      -11.05520509,       -11.5689162,      -11.83359717
          0,           0,         283,      -11.36582352,      -11.08241695,      -11.59147489,      -11.85871576
          0,           0,         284,      -11.39185181,      -11.10982895,      -11.61423105,      -11.88395343
          0,           0,         285,      -11.41797723,      -11.13738068,      -11.63716386,        -11.909268
          0,           0,         286,      -11.44414854,       -11.1650094,      -11.66025073,      -11.93461649
          0,           0,         287,      -11.47031438,      -11.19265074,      -11.68346751,      -11.95995587
          0,           0,         288,      -11.49642372,      -11.22023938,      -11.70678884,      -11.98524346
          0,           0,         289,       -11.5224265,      -11.24770985,      -11.73018841,      -12.01043765
          0,           0,         290,       -11.5482741,       -11.2749974,      -11.75363916,       -12.0354982
          0,           0,         291,      -11.57391991,      -11.30203879,      -11.77711372,      -12.06038689
          0,           0,         292,      -11.59931965,      -11.32877315,      -11.80058455,      -12.08506771
          0,           0,         293,      -11.62443206,      -11.35514295,      -11.82402434,      -12.10950738
          0,           0,         294,      -11.64921904,      -11.38109465,      -11.84740631,      -12.13367549
          0,           0,         295,      -11.67364623,      -11.40657958,      -11.87070424,      -12.15754481
          0,           0,         296,      -11.69768327,      -11.43155458,      -11.89389307,       -12.1810915
          0,           0,         297,      -11.72130399,      -11.45598253,      -11.91694882,       -12.2042949
          0,           0,         298,      -11.74448683,      -11.47983293,      -11.93984895,      -12.22713795
          0,           0,         299,      -11.76721488,      -11.50308208,      -11.96257265,      -12.24960691
          0,           0,         300,      -11.78947602,      -11.52571327,      -11.98510075,      -12.27169119
          0,           0,         301,      -11.81126291,      -11.54771678,      -12.00741615,      -12.29338344
          0,           0,         302,      -11.83257304,      -11.56908972,      -12.02950373,      -12.31467903
          0,           0,         303,      -11.85340843,      -11.58983569,      -12.05135052,      -12.33557615
          0,           0,         304,      -11.87377533,      -11.60996426,      -12.07294564,      -12.35607526
          0,           0,         305,       -11.8936842,       -11.6294907,      -12.09428042,      -12.37617898
          0,           0,         306,      -11.91314914,      -11.64843525,      -12.11534835,       -12.3958923
          0,           0,         307,      -11.93218765,      -11.66682264,      -12.13614498,      -12.41522187
          0,           0,         308,      -11.95082016,      -11.68468161,      -12.15666794,       -12.4341764
          0,           0,         309,      -11.96906979,      -11.70204439,      -12.17691672,      -12.45276665
          0,           0,         310,      -11.98696199,      -11.71894633,      -12.19689297,      -12.47100551
          0,           0,         311,      -12.00452408,      -11.73542542,      -12.21660015,      -12.48890819
          0,           0,         312,      -12.02178503,      -11.75152195,      -12.23604353,      -12.50649239
          0,           0,         313,      -12.03877508,      -11.76727812,      -12.25523033,      -12.52377848
          0,           0,         314,       -12.0555254,      -11.78273764,      -12.27416983,      -12.54078953
          0,           0,         315,      -12.07206778,      -11.79794524,      -12.29287336,      -12.55755141
          0,           0,         316,      -12.08843426,      -11.81294627,      -12.31135389,      -12.57409243
          0,           0,         317,      -12.10465672,      -11.82778608,      -12.32962656,      -12.59044349
          0,           0,         318,       -12.1207667,      -11.84250963,      -12.34770846,      -12.60663718
          0,           0,         319,      -12.13679491,      -11.85716081,      -12.36561818,      -12.62270769
          0,           0,         320,      -12.15277113,      -11.87178213,      -12.38337614,       -12.6386902
          0,           0,         321,      -12.16872384,      -11.88641418,      -12.40100389,      -12.65462021
          0,           0,         322,      -12.18468023,      -11.90109528,      -12.41852434,      -12.67053311
          0,           0,         323,      -12.20066586,      -11.91586117,      -12.43596098,      -12.68646331
          0,           0,         324,      -12.21670481,      -11.93074494,      -12.45333761,      -12.70244406
          0,           0,         325,      -12.23281972,      -11.94577697,      -12.47067817,      -12.71850744
          0,           0,         326,      -12.24903114,      -11.96098439,      -12.48800656,      -12.73468229
          0,           0,         327,      -12.26535882,      -11.97639211,      -12.50534567,      -12.75099669
          0,           0,         328,      -12.28182063,      -11.99202199,       -12.5227177,      -12.76747525
