"PointID","x","y","Adjoint_Density","Adjoint_Momentum_x","Adjoint_Momentum_y","Adjoint_Energy","Sensitivity_x","Sensitivity_y","Surface_Sensitivity"
105, 7.519999985000000e-03, 1.414578299000737e-02, 5.574980730175851e-02, 2.144528334589969e-01, -6.130191735297397e-01, 1.780549508848340e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.636336525068817e-01
106, 1.049000024800000e-02, 1.633092823181328e-02, 1.624168939860073e-01, 6.370485768640038e-02, -5.929387882603929e-01, 4.322630087831593e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.159049617952324e-01
107, 1.394999958600000e-02, 1.840612654929042e-02, 2.293235016636622e-01, -4.120812869636211e-02, -5.416097545844452e-01, 5.867727145130468e-02, 0.000000000000000e+00, 0.000000000000000e+00, 3.678286362623740e-02
108, 1.789999939500000e-02, 2.037765900626932e-02, 2.527000047179483e-01, -9.871357816000248e-02, -4.725912662050095e-01, 6.405955423679266e-02, 0.000000000000000e+00, 0.000000000000000e+00, 5.540346595397158e-03
109, 2.232000045500000e-02, 2.224391124468274e-02, 2.876780286454271e-01, -1.562532837041747e-01, -4.202713379092915e-01, 7.226724708129516e-02, 0.000000000000000e+00, 0.000000000000000e+00, 6.656923079154360e-02
110, 2.723000012300000e-02, 2.402095781897991e-02, 3.770711519631079e-01, -2.530248883441595e-01, -3.967532594637621e-01, 9.370903032941702e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.457018395670110e-01
111, 3.260000050100000e-02, 2.570540037809321e-02, 4.931398509138545e-01, -3.692473278423984e-01, -3.821854736784865e-01, 1.221055991786116e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.547757246563462e-01
112, 3.844000026600000e-02, 2.730846173916653e-02, 5.823029252079664e-01, -4.602976551152835e-01, -3.581857811121267e-01, 1.446483129865367e-01, 0.000000000000000e+00, 0.000000000000000e+00, 9.833247758500434e-02
113, 4.473999887700000e-02, 2.883447197420958e-02, 6.245801451300819e-01, -5.082113076703474e-01, -3.244227517712436e-01, 1.558889098038365e-01, 0.000000000000000e+00, 0.000000000000000e+00, 3.453027993015716e-02
114, 5.149000138000000e-02, 3.028818771798597e-02, 6.337257522432377e-01, -5.243985018843916e-01, -2.890488667704176e-01, 1.587205152837041e-01, 0.000000000000000e+00, 0.000000000000000e+00, -1.901417695373033e-03
115, 5.869000032500000e-02, 3.167631488599108e-02, 6.283343721257705e-01, -5.255303071565756e-01, -2.570560798191013e-01, 1.576456685957237e-01, 0.000000000000000e+00, 0.000000000000000e+00, -1.475909114137058e-02
116, 6.633000075800000e-02, 3.300313566446132e-02, 6.169842211918234e-01, -5.198203403603197e-01, -2.291068844711107e-01, 1.549315113440831e-01, 0.000000000000000e+00, 0.000000000000000e+00, -1.866950880456321e-02
117, 7.440000027400000e-02, 3.427288786799660e-02, 6.017980150275345e-01, -5.096212845436245e-01, -2.045729793805760e-01, 1.512112363838354e-01, 0.000000000000000e+00, 0.000000000000000e+00, -2.073120658281587e-02
118, 8.290000259900000e-02, 3.549100882859516e-02, 5.839096574511744e-01, -4.961558205678804e-01, -1.830701121167174e-01, 1.467639438270401e-01, 0.000000000000000e+00, 0.000000000000000e+00, -2.255910808275011e-02
119, 9.181000292300000e-02, 3.665970948129724e-02, 5.642893073910946e-01, -4.805075465500282e-01, -1.642161479809406e-01, 1.418841702837040e-01, 0.000000000000000e+00, 0.000000000000000e+00, -2.492124048653559e-02
120, 1.011300012470000e-01, 3.778368014266564e-02, 5.435626677001978e-01, -4.633564558317987e-01, -1.475935062009927e-01, 1.366898449550516e-01, 0.000000000000000e+00, 0.000000000000000e+00, -2.735065666630341e-02
121, 1.108499988910000e-01, 3.886582323118044e-02, 5.219052772768300e-01, -4.449880098925866e-01, -1.328536349307169e-01, 1.312699305382253e-01, 0.000000000000000e+00, 0.000000000000000e+00, -2.765354067314432e-02
122, 1.209499984980000e-01, 3.990771155104316e-02, 5.000979282998530e-01, -4.261680046789169e-01, -1.197727661731816e-01, 1.257810573743788e-01, 0.000000000000000e+00, 0.000000000000000e+00, -2.478022512634994e-02
123, 1.314399987460000e-01, 4.091359878602861e-02, 4.790848482348217e-01, -4.077980903164531e-01, -1.082560709167253e-01, 1.204715922480807e-01, 0.000000000000000e+00, 0.000000000000000e+00, -2.042447393460065e-02
